Nom de l’ensemble de termes,Description de l’ensemble de termes,LCID,Disponible pour le marquage,Description du terme,Terme de niveau 1,Terme de niveau 2,Terme de niveau 3,Terme de niveau 4,Terme de niveau 5,Terme de niveau 6,Terme de niveau 7
Navigation Site,Navigation Collection de sites,,True,Espace Partenaires Externe,Espace Externe,,,,,,
,,,,projet SPIE,Espace Externe,projet SPIE,,,,,
,,,,Espace Référentiel,Espace Externe,projet SPIE,Espace Référentiel,,,,
,,,,Espace Equipe,Espace Externe,projet SPIE,Espace Equipe,,,,
,,,,Espace Déploiement,Espace Externe,projet SPIE,Espace Déploiement,,,,
,,,,Suivi d'opération,Espace Externe,projet SPIE,Suivi d'opération,,,,
,,,,Espace RIES,Espace Externe,Projet RIES,,,,,
,,,,Espace Referentiel,Espace Externe,Projet RIES,Espace Référentiel,,,,
,,,,Espace Equipe,Espace Externe,Projet RIES,Espace Equipe,,,,
,,,,Espace de deploiement,Espace Externe,Projet RIES,Espace Déploiement,,,,
,,,,Liste de suivi,Espace Externe,Projet RIES,Suivi d'opération,,,,
,,,,Accueil Espace EDF,Accueil Espace EDF,,,,,,
