$$	Titre	Famille documentaire	Nature documentaire	Nature documentaire libellé	Projet	Opération	Site DPIH	Requis	Unité	Code Centrale	Code Projet	Niveau d'études	Découpage - lot	Système élémentaire 	Complément	Numéro Chrono	Codification	Type MSH	RT	Format demandé	Stockage	Rédaction	Temps estimé (h)	Reste à faire	Fourniture	Date cible	Observations 	Livr. Exploitant	Date Exploitant	Format Exploitant	Stockage Exploitant	Livr. MCO	Date MCO	Format MCO	Stockage MCO	Livr. Intégrateur	Date Intégrateur	Format Intégrateur	Stockage Intégrateur	Livr. DTG	Date DTG	Format DTG	Stockage DTG	Livr. Tableautier	Date Tableautier	Format Tableautier	Stockage Tableautier
$$	CEB produire local (DOSTEX site, liste des MISH, liste des AD, codification ECSH)	Déploiement	0de719d0-c9eb-4adb-ac51-82463ea1641f	DEPLOIEMENT / A -Relations avec la MOA / A1 Expression des besoins	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True		RMOIH									R			MOA	0		M03			True	M14		Numérique	True	M14	PDF - A4	Numérique	False				False				False			
$$	EP	Déploiement	9a446162-1047-47d9-953c-adb4276795cf	DEPLOIEMENT / A -Relations avec la MOA / A2 Assistance à la MOA (pré-études, études de faisabilité, expertises, …)	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	P	*			000001	IH-RMOIH-MSHD-P-*--000 001		R	PDF - A4		CIH	0		M02			True	M14	PDF - A4	Numérique	True	M14	PDF - A4	Numérique	False				False				False			
$$	Point Zéro DTG	Déploiement	9a446162-1047-47d9-953c-adb4276795cf	DEPLOIEMENT / A -Relations avec la MOA / A2 Assistance à la MOA (pré-études, études de faisabilité, expertises, …)	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True		RMOIH									R			Représentants DTG	0		M03			False				False				False				False				False			
$$	DTA : Dossier Technique Amiante	Déploiement	9a446162-1047-47d9-953c-adb4276795cf	DEPLOIEMENT / A -Relations avec la MOA / A2 Assistance à la MOA (pré-études, études de faisabilité, expertises, …)	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True		RMOIH									R	PDF - A4		MOA	0		M03			True		PDF - A4		False				False				False				False			
$$	FEO RNV	Déploiement	28decfc8-4df9-4b74-8e3a-5995aced0d40	DEPLOIEMENT / A -Relations avec la MOA / A3  Contractualisation (fiche engagement)	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True		RMOIH									R			CIH	0		M03			False				False				False				False				False			
$$	CR de la réunion d'enclenchement d'APD	Déploiement	816af41b-3f8d-4794-a699-41e85a481041	DEPLOIEMENT / A -Relations avec la MOA / A4  Comptes rendus de réunions	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	*		COND	000001	IH-RMOIH-MSHD-D-*-COND-000 001		R	Word - A4		IE	0		M04			True		Word - A4		False				False				False				False			
$$	Note d'organisation de l'affaire	Déploiement	542f3254-f868-4184-8aa4-b9a0f3e6ce29	DEPLOIEMENT / B- Organisation et gestion de l’opération / B1  Plan de management - organisation de l’opération	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	*	*		NOA	000001	IH-RMOIH-MSHD-*-*-NOA-000 001		R	Word - A4	Rédacteur+ GED	CHO	0		M04			True		Word - A4		False				False		Word - A4		False				False			
$$	Note de codification de l'affaire	Déploiement	542f3254-f868-4184-8aa4-b9a0f3e6ce29	DEPLOIEMENT / B- Organisation et gestion de l’opération / B1  Plan de management - organisation de l’opération	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	*			000001	IH-RMOIH-MSHD-D-*--000 001	NT	R	Word - A4	Rédacteur+ GED	IE	0		M04		A fournir dès l'enclenchement de l'APD	True	M14	Word - A4	Papier	True	M14	PDF - A4	Numérique	True	M07	Word - A4	Papier	False				False			
$$	Plan qualité de l'affaire	Déploiement	542f3254-f868-4184-8aa4-b9a0f3e6ce29	DEPLOIEMENT / B- Organisation et gestion de l’opération / B1  Plan de management - organisation de l’opération	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	000	*		111003	IH-RMOIH-MSHD-X-000-*-111 003	NT	T	PDF - A4		Intégrateurs	0		M07		YC organigramme des équipes affectées à l'affaire, liste des intervenants et soutraitants et travaux soutraités	True		PDF - A4		False				False				False				False			
$$	Fiche de vie de l'affaire	Déploiement	0d22a731-cfd5-4e25-ac31-6a6af53ce87b	DEPLOIEMENT / B- Organisation et gestion de l’opération / B2  PAQ - traceurs de l’opération	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	*	*			000001	IH-RMOIH-MSHD-*-*--000 001		R			CHO	0		M05			False				False				False		Word - A4		False				False			
