$$	Titre	Famille documentaire	Nature documentaire	Projet	Opération	Site DPIH	Requis	Unité	Code Centrale	Code Projet	Niveau d'études	Découpage - lot	Système élémentaire 	Complément	Numéro chrono	Codification	Type MSH	RT	Format demandé	Stockage	Rédaction	Temps estimé (h)	Reste à faire	Fourniture	Date cible	Observations 	Livr. Exploitant	Date	Format	Stockage	Livr. MCO	Date	Format	Stockage	Livr. Intégrateur	Date	Format	Stockage	Livr. DTG	Date	Format	Stockage	Livr. Tableautier	Date	Format	Stockage
$$	EP	Déploiement		MSH			true	IH		MSHD	P	*			00001	IH-RMOIH-MSHD-P-*--000 001		R			MSH / CIH	0		M02				M14																		
$$	CEB produire local (DOSTEX site, liste des MISH, liste des AD, codification ECSH)	Déploiement		MSH			true											R			MSH / MOA	0		M03																						
$$	DATS Infra	Déploiement		MSH			true											R			MSH / CIH	0		M03																						
$$	FEO RNV	Déploiement		MSH			true											R			MSH / CIH	0		M03																						
$$	Analyse de risque ARA et exigences SSE/SH 	Déploiement		MSH			true											R			MSH / MOA	0		M03		Initialisée par CHO à partir de l'ARA type																				
$$	DTA : Dossier Technique Amiante	Déploiement		MSH			true											R			MSH / MOA	0		M03																						
$$	Point Zéro DTG	Déploiement		MSH			true											R			MSH / DTG / Représentants DTG	0		M03																						
$$	APS et expertises éventuelles	Déploiement		MSH			true	IH		MSHD	S	*			00001	IH-RMOIH-MSHD-S-*--000 001		R			MSH / CIH	0		M03		Dissocier les differents APS		M14																		
$$	CR de la réunion d'enclenchement d'APD	Déploiement		MSH			true	IH		MSHD	D	*		COND	00001	IH-RMOIH-MSHD-D-*--000 001		R			MSH / CIH / IE	0		M04																						
$$	Note de codification de l'affaire	Déploiement		MSH			true	IH		MSHD	D	*			00001	IH-RMOIH-MSHD-D-*--000 001	NT	R	Word - A4	Rédacteur+ GED	MSH / CIH / IE	0		M04		A fournir dès l'enclenchement de l'APD		M14	Word - A4																	
$$	Liste des plans et schémas existants	Déploiement		MSH			true	IH		MSHD	D	*			00002	IH-RMOIH-MSHD-D-*--000 002	LE	R	XLS - A4	Rédacteur+ GED	MSH / CIH / IE	0		M04		A élaborer dès l'enclenchement de l'APD		M14	Word - A4																	
$$	Plans des locaux par niveaux avec implantation des matèriels existants	Déploiement		MSH			true	IH		MSHD	D	000	*		111000	IH-RMOIH-MSHD-D-000-*-111 000	IM	T			MSH / Externes / Intégrateurs	0		M04 + 30 j		A créer si nécessaire																				
